"team","season","conference","division","classification","source"
"Air Force",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Akron",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"Alabama",2020,"SEC","West","fbs","cfbd_teams_fbs"
"App State",2020,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Arizona",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Arizona State",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Arkansas",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Arkansas State",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Army",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Auburn",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Ball State",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"Baylor",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Boise State",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Boston College",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Bowling Green",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"Buffalo",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"BYU",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"California",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Central Michigan",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"Charlotte",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Cincinnati",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"Clemson",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Coastal Carolina",2020,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Colorado",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Colorado State",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Duke",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"East Carolina",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"Eastern Michigan",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"Florida",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Florida Atlantic",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Florida International",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Florida State",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Fresno State",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"Georgia",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Georgia Southern",2020,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Georgia State",2020,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Georgia Tech",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Hawai'i",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"Houston",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"Illinois",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Indiana",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Iowa",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Iowa State",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Kansas",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Kansas State",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Kent State",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"Kentucky",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Liberty",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Louisiana",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Louisiana Tech",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"Louisville",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"LSU",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Marshall",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Maryland",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Massachusetts",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Memphis",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"Miami",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Miami (OH)",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"Michigan",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Michigan State",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Middle Tennessee",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Minnesota",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Mississippi State",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Missouri",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Navy",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"North Carolina State",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Nebraska",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Nevada",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"New Mexico",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"New Mexico State",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"North Carolina",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Northern Illinois",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"North Texas",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"Northwestern",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Notre Dame",2020,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Ohio",2020,"Mid-American","East","fbs","cfbd_teams_fbs"
"Ohio State",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Oklahoma",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Oklahoma State",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Old Dominion",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Mississippi",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Oregon",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Oregon State",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Penn State",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"Pittsburgh",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Purdue",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Rice",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"Rutgers",2020,"Big Ten","East","fbs","cfbd_teams_fbs"
"San Diego State",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"San José State",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"SMU",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"South Alabama",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"South Carolina",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Southern Miss",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"South Florida",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"Stanford",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Syracuse",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"TCU",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Temple",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"Tennessee",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Texas",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Texas A&M",2020,"SEC","West","fbs","cfbd_teams_fbs"
"Texas State",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Texas Tech",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Toledo",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"Troy",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Tulane",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"Tulsa",2020,"American Athletic","West","fbs","cfbd_teams_fbs"
"UAB",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"UCF",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"UCLA",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Connecticut",2020,"American Athletic","East","fbs","cfbd_teams_fbs"
"UL Monroe",2020,"Sun Belt","East","fbs","cfbd_teams_fbs"
"UNLV",2020,"Mountain West","West","fbs","cfbd_teams_fbs"
"Southern California",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Utah",2020,"Pac-12","South","fbs","cfbd_teams_fbs"
"Utah State",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"UTEP",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"UTSA",2020,"Conference USA","West","fbs","cfbd_teams_fbs"
"Vanderbilt",2020,"SEC","East","fbs","cfbd_teams_fbs"
"Virginia",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Virginia Tech",2020,"ACC","Coastal","fbs","cfbd_teams_fbs"
"Wake Forest",2020,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Washington",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Washington State",2020,"Pac-12","North","fbs","cfbd_teams_fbs"
"Western Kentucky",2020,"Conference USA","East","fbs","cfbd_teams_fbs"
"Western Michigan",2020,"Mid-American","West","fbs","cfbd_teams_fbs"
"West Virginia",2020,"Big 12",,"fbs","cfbd_teams_fbs"
"Wisconsin",2020,"Big Ten","West","fbs","cfbd_teams_fbs"
"Wyoming",2020,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Air Force",2021,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Akron",2021,"Mid-American","East","fbs","cfbd_teams_fbs"
"Alabama",2021,"SEC","West","fbs","cfbd_teams_fbs"
"App State",2021,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Arizona",2021,"Pac-12","South","fbs","cfbd_teams_fbs"
"Arizona State",2021,"Pac-12","South","fbs","cfbd_teams_fbs"
"Arkansas",2021,"SEC","West","fbs","cfbd_teams_fbs"
"Arkansas State",2021,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Army",2021,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Auburn",2021,"SEC","West","fbs","cfbd_teams_fbs"
"Ball State",2021,"Mid-American","West","fbs","cfbd_teams_fbs"
"Baylor",2021,"Big 12",,"fbs","cfbd_teams_fbs"
"Boise State",2021,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Boston College",2021,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Bowling Green",2021,"Mid-American","East","fbs","cfbd_teams_fbs"
"Buffalo",2021,"Mid-American","East","fbs","cfbd_teams_fbs"
"BYU",2021,"FBS Independents",,"fbs","cfbd_teams_fbs"
"California",2021,"Pac-12","North","fbs","cfbd_teams_fbs"
"Central Michigan",2021,"Mid-American","West","fbs","cfbd_teams_fbs"
"Charlotte",2021,"Conference USA","East","fbs","cfbd_teams_fbs"
"Cincinnati",2021,"American Athletic","East","fbs","cfbd_teams_fbs"
"Clemson",2021,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Coastal Carolina",2021,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Colorado",2021,"Pac-12","South","fbs","cfbd_teams_fbs"
"Colorado State",2021,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Duke",2021,"ACC","Coastal","fbs","cfbd_teams_fbs"
"East Carolina",2021,"American Athletic","East","fbs","cfbd_teams_fbs"
"Eastern Michigan",2021,"Mid-American","West","fbs","cfbd_teams_fbs"
"Florida",2021,"SEC","East","fbs","cfbd_teams_fbs"
"Florida Atlantic",2021,"Conference USA","East","fbs","cfbd_teams_fbs"
"Florida International",2021,"Conference USA","East","fbs","cfbd_teams_fbs"
"Florida State",2021,"ACC","Atlantic","fbs","cfbd_teams_fbs"
"Fresno State",2021,"Mountain West","West","fbs","cfbd_teams_fbs"
"Georgia",2021,"SEC","East","fbs","cfbd_teams_fbs"
