"team","season","returning_ppa_pct","returning_passing_ppa_pct","returning_usage_pct","talent_percentile","preseason_poll_vote_share","retained_quality","replacement_capacity","portal_incoming_count","portal_outgoing_count","portal_rated_incoming_count","portal_incoming_value","portal_incoming_percentile","portal_offense_ppa","portal_offense_score","portal_offense_eligible_count","portal_offense_matched_count","portal_offense_match_rate","portal_replacement_capacity","portal_offense_replacement","roster_rebuild_score","roster_rebuild_flag","hype_gap","source","captured_at"
"Air Force",2021,0.77,1,0.724,0.00769230769230769,0,0.5534375,0.00176923076923077,2,4,0,0,0,0,-0.491494242760212,0,0,1,0,-0.135652411001819,0,FALSE,-0.31875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Akron",2021,0.63,0.756,0.805,0.0923076923076923,0,0.0196875,0.0341538461538462,3,14,0,0,0,-0.392223776223776,-1.07000871793283,2,1,0.5,0,-0.208651699996901,0,FALSE,0.36875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Alabama",2021,0.192,0.058,0.26,1,1,0.1905,0.808,4,11,2,0.0845454545454545,0.630769230769231,11.7273426573427,0.698898628603569,1,1,1,0.466769230769231,0.517184985166641,0.517184985166641,TRUE,0.0078125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"App State",2021,0.654,0.127,0.584,0.315384615384615,0,0.546703125,0.109123076923077,7,4,1,0.0363636363636364,0.269230769230769,0.750272727272727,0.0289266675067024,1,1,1,0.112,0.0120334936827882,0.0120334936827882,FALSE,-0.4359375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Arizona",2021,0.484,-2.98,0.478,0.484615384615385,0,0.0226875,0.250061538461538,16,18,8,0.295,0.946153846153846,21.9950034965035,0.972565631748414,6,4,0.666666666666667,0.493892307692308,0.507679259772672,0.507679259772672,TRUE,0.353125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Arizona State",2021,0.976,1,0.966,0.807692307692308,0.040374677002584,0.854,0.0193846153846154,7,18,4,0.151363636363636,0.811538461538462,9.53733566433566,0.603533485740521,2,1,0.5,0.0275923076923077,0.0205201385151777,0.0205201385151777,FALSE,-0.075,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Arkansas",2021,0.505,-0.081,0.423,0.792307692307692,0,0.2091015625,0.392192307692308,5,16,3,0.112272727272727,0.684615384615385,0,-0.491494242760212,1,0,0,0.395023076923077,-0.283592178072643,0,FALSE,-0.0140625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Arkansas State",2021,0.516,0.533,0.426,0.369230769230769,0,0.27009375,0.178707692307692,17,9,2,0.0731818181818182,0.465384615384615,-0.100454545454546,-1.03643338949379,8,4,0.5,0.267130769230769,-0.594912765569435,0,FALSE,-0.1234375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Army",2021,0.861,1,0.858,0.0153846153846154,0,0.7331953125,0.00213846153846154,0,2,0,0,0,0,-0.491494242760212,0,0,1,0,-0.0697921824719502,0,FALSE,-0.4515625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Auburn",2021,0.605,0.994,0.714,0.9,0,0.2788671875,0.3555,10,22,8,0.307272727272727,0.969230769230769,37.411458041958,1.57444496521704,3,2,0.666666666666667,0.2772,0.450291260052074,0.450291260052074,FALSE,-0.0609375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
