"team","season","start_week","end_week","coach_id","coach_name","interim","source","assignment_confidence","source_games","schedule_games","needs_review","inference_reason","effective_date","source_url"
"Air Force",2020,0,99,"coach_troy_calhoun","Troy Calhoun",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Akron",2020,0,99,"coach_tom_arth","Tom Arth",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Alabama",2020,0,99,"coach_nick_saban","Nick Saban",FALSE,"cfbd_coaches","high",13,13,FALSE,"single_source_coach",,
"App State",2020,0,99,"coach_shawn_clark","Shawn Clark",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"Arizona",2020,0,99,"coach_kevin_sumlin","Kevin Sumlin",FALSE,"cfbd_coaches","high",5,5,FALSE,"single_source_coach",,
"Arizona State",2020,0,99,"coach_herm_edwards","Herm Edwards",FALSE,"cfbd_coaches","high",4,4,FALSE,"single_source_coach",,
"Arkansas",2020,0,99,"coach_sam_pittman","Sam Pittman",FALSE,"cfbd_coaches","high",10,10,FALSE,"single_source_coach",,
"Arkansas State",2020,0,99,"coach_blake_anderson","Blake Anderson",FALSE,"cfbd_coaches","high",11,11,FALSE,"single_source_coach",,
"Army",2020,0,99,"coach_jeff_monken","Jeff Monken",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"Auburn",2020,0,98,"coach_gus_malzahn","Gus Malzahn",FALSE,"wikipedia_season_coaching_changes","confirmed_public_transition",10,11,FALSE,"public_transition_effective_next_game",,"https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season"
"Auburn",2020,99,99,"coach_kevin_steele","Kevin Steele",TRUE,"wikipedia_season_coaching_changes","confirmed_public_transition",1,11,FALSE,"public_transition_effective_next_game","2020-12-13","https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season"
"Ball State",2020,0,99,"coach_mike_neu","Mike Neu",FALSE,"cfbd_coaches","high",8,8,FALSE,"single_source_coach",,
"Baylor",2020,0,99,"coach_dave_aranda","Dave Aranda",FALSE,"cfbd_coaches","high",9,9,FALSE,"single_source_coach",,
"Boise State",2020,0,99,"coach_bryan_harsin","Bryan Harsin",FALSE,"cfbd_coaches","high",7,7,FALSE,"single_source_coach",,
"Boston College",2020,0,99,"coach_jeff_hafley","Jeff Hafley",FALSE,"cfbd_coaches","high",11,11,FALSE,"single_source_coach",,
"Bowling Green",2020,0,99,"coach_scot_loeffler","Scot Loeffler",FALSE,"cfbd_coaches","high",5,5,FALSE,"single_source_coach",,
"Buffalo",2020,0,99,"coach_lance_leipold","Lance Leipold",FALSE,"cfbd_coaches","high",7,7,FALSE,"single_source_coach",,
"BYU",2020,0,99,"coach_kalani_sitake","Kalani Sitake",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"California",2020,0,99,"coach_justin_wilcox","Justin Wilcox",FALSE,"cfbd_coaches","high",4,4,FALSE,"single_source_coach",,
"Central Michigan",2020,0,99,"coach_jim_mcelwain","Jim McElwain",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Charlotte",2020,0,99,"coach_will_healy","Will Healy",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Cincinnati",2020,0,99,"coach_luke_fickell","Luke Fickell",FALSE,"cfbd_coaches","high",10,10,FALSE,"single_source_coach",,
"Clemson",2020,0,99,"coach_dabo_swinney","Dabo Swinney",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"Coastal Carolina",2020,0,99,"coach_jamey_chadwell","Jamey Chadwell",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"Colorado",2020,0,99,"coach_karl_dorrell","Karl Dorrell",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Colorado State",2020,0,99,"coach_steve_addazio","Steve Addazio",FALSE,"cfbd_coaches","high",4,4,FALSE,"single_source_coach",,
"Connecticut",2020,0,99,"coach_randy_edsall","Randy Edsall",FALSE,"cfbd_coaches","high",0,0,FALSE,"single_source_coach",,
"Duke",2020,0,99,"coach_david_cutcliffe","David Cutcliffe",FALSE,"cfbd_coaches","high",11,11,FALSE,"single_source_coach",,
"East Carolina",2020,0,99,"coach_mike_houston","Mike Houston",FALSE,"cfbd_coaches","high",9,9,FALSE,"single_source_coach",,
"Eastern Michigan",2020,0,99,"coach_chris_creighton","Chris Creighton",FALSE,"cfbd_coaches","high",6,6,FALSE,"single_source_coach",,
"Florida",2020,0,99,"coach_dan_mullen","Dan Mullen",FALSE,"cfbd_coaches","high",12,12,FALSE,"single_source_coach",,
"Florida Atlantic",2020,0,99,"coach_willie_taggart","Willie Taggart",FALSE,"cfbd_coaches","high",9,9,FALSE,"single_source_coach",,
"Florida International",2020,0,99,"coach_butch_davis","Butch Davis",FALSE,"cfbd_coaches","high",5,5,FALSE,"single_source_coach",,
"Florida State",2020,0,99,"coach_mike_norvell","Mike Norvell",FALSE,"cfbd_coaches","high",9,9,FALSE,"single_source_coach",,
