game_id,provider,captured_at,snapshot_type,home_spread,opening_home_spread,total,home_price,away_price,source_url
401856777,DraftKings,2026-08-30T18:04:00Z,source,-7.5,-9.5,51.5,,,
401856777,Bovada,2026-08-30T18:04:00Z,source,-7.5,-9.5,51.5,,,
401869960,DraftKings,2026-08-30T18:04:00Z,source,-6.5,-6,52.5,,,
401869960,Bovada,2026-08-30T18:04:00Z,source,-6.5,-6,53,,,
401858212,DraftKings,2026-08-30T18:04:00Z,source,3,,53.5,,,
401858212,Bovada,2026-08-30T18:04:00Z,source,2.5,2.5,53,,,
401858436,DraftKings,2026-08-30T18:04:00Z,source,-23.5,-23.5,51.5,,,
401858436,Bovada,2026-08-30T18:04:00Z,source,-23.5,-23,51.5,,,
401858437,DraftKings,2026-08-30T18:04:00Z,source,-23.5,-21.5,50.5,,,
401858437,Bovada,2026-08-30T18:04:00Z,source,-24,-21.5,51,,,
401858425,DraftKings,2026-08-30T18:04:00Z,source,-40.5,-40.5,55.5,,,
401858425,Bovada,2026-08-30T18:04:00Z,source,-41,-40.5,55.5,,,
401858209,DraftKings,2026-08-30T18:04:00Z,source,-9.5,-8.5,50.5,,,
401858209,Bovada,2026-08-30T18:04:00Z,source,-8.5,-8.5,51,,,
401858206,DraftKings,2026-08-30T18:04:00Z,source,24.5,21.5,47.5,,,
401858206,Bovada,2026-08-30T18:04:00Z,source,24.5,21.5,47.5,,,
401856667,DraftKings,2026-08-30T18:04:00Z,source,-30.5,-30.5,59.5,,,
401856667,Bovada,2026-08-30T18:04:00Z,source,-30.5,-30.5,60,,,
401856772,DraftKings,2026-08-30T18:04:00Z,source,14,11.5,60.5,,,
401856772,Bovada,2026-08-30T18:04:00Z,source,13.5,11.5,60,,,
401858428,Bovada,2026-08-30T18:04:00Z,source,-27.5,-26.5,47.5,,,
401858428,DraftKings,2026-08-30T18:04:00Z,source,-27.5,-26.5,47.5,,,
401856634,DraftKings,2026-08-30T18:04:00Z,source,-28.5,-25.5,53.5,,,
401856634,Bovada,2026-08-30T18:04:00Z,source,-28.5,-25.5,54,,,
401856662,Bovada,2026-08-30T18:04:00Z,source,-28.5,-28.5,55.5,,,
401856662,DraftKings,2026-08-30T18:04:00Z,source,-28.5,-28.5,56.5,,,
401864498,Bovada,2026-08-30T18:04:00Z,source,-10,-12.5,47,,,
401864498,DraftKings,2026-08-30T18:04:00Z,source,-10.5,-12.5,46.5,,,
401858433,DraftKings,2026-08-30T18:04:00Z,source,-24.5,-24.5,51.5,,,
401858433,Bovada,2026-08-30T18:04:00Z,source,-24.5,-24.5,52,,,
401858430,DraftKings,2026-08-30T18:04:00Z,source,-23.5,-23.5,47.5,,,
401858430,Bovada,2026-08-30T18:04:00Z,source,-24,-23.5,47.5,,,
401864432,Bovada,2026-08-30T18:04:00Z,source,2.5,4,53,,,
401864432,DraftKings,2026-08-30T18:04:00Z,source,2.5,4.5,52.5,,,
401856636,DraftKings,2026-08-30T18:04:00Z,source,-7,-6.5,59.5,,,
401856636,Bovada,2026-08-30T18:04:00Z,source,-7,-7.5,59,,,
401856661,Bovada,2026-08-30T18:04:00Z,source,-6.5,-8.5,55.5,,,
401856661,DraftKings,2026-08-30T18:04:00Z,source,-6.5,,55.5,,,
401858434,Bovada,2026-08-30T18:04:00Z,source,-24.5,-23.5,54.5,,,
401858434,DraftKings,2026-08-30T18:04:00Z,source,-24.5,-23.5,54.5,,,
401864497,Bovada,2026-08-30T18:04:00Z,source,3,1.5,58.5,,,
401864497,DraftKings,2026-08-30T18:04:00Z,source,3,1.5,58.5,,,
401856665,Bovada,2026-08-30T18:04:00Z,source,-36.5,-34.5,53,,,
401856665,DraftKings,2026-08-30T18:04:00Z,source,-36.5,-33.5,53.5,,,
401856637,Bovada,2026-08-30T18:04:00Z,source,-26.5,-25.5,59.5,,,
401856637,DraftKings,2026-08-30T18:04:00Z,source,-27.5,-25.5,59.5,,,
401870763,Bovada,2026-08-30T18:04:00Z,source,-17,-17,53.5,,,
401870763,DraftKings,2026-08-30T18:04:00Z,source,-16.5,-17.5,53.5,,,
401862699,Bovada,2026-08-30T18:04:00Z,source,-13.5,-12.5,54,,,
401862699,DraftKings,2026-08-30T18:04:00Z,source,-13.5,-12.5,53.5,,,
401858210,Bovada,2026-08-30T18:04:00Z,source,2,-3.5,54,,,
401858210,DraftKings,2026-08-30T18:04:00Z,source,1.5,-1.5,53.5,,,
401858438,Bovada,2026-08-30T18:04:00Z,source,-20,-16.5,47.5,,,
401858438,DraftKings,2026-08-30T18:04:00Z,source,-20.5,,47.5,,,
401860878,DraftKings,2026-08-30T18:04:00Z,source,-3,-4,47.5,,,
401860878,Bovada,2026-08-30T18:04:00Z,source,-3,-4,47.5,,,
401858426,Bovada,2026-08-30T18:04:00Z,source,-32,-29.5,45.5,,,
401858426,DraftKings,2026-08-30T18:04:00Z,source,-31.5,-29.5,45.5,,,
401856778,Bovada,2026-08-30T18:04:00Z,source,-21,-18.5,51.5,,,
401856778,DraftKings,2026-08-30T18:04:00Z,source,-20.5,-18.5,51.5,,,
401864495,DraftKings,2026-08-30T18:04:00Z,source,-3.5,-3.5,54.5,,,
401864495,Bovada,2026-08-30T18:04:00Z,source,-3.5,-3.5,53.5,,,
401856780,Bovada,2026-08-30T18:04:00Z,source,-21.5,-17.5,56,,,
401856780,DraftKings,2026-08-30T18:04:00Z,source,-21.5,-17.5,56.5,,,
401858207,Bovada,2026-08-30T18:04:00Z,source,-16,-16.5,49.5,,,
401858207,DraftKings,2026-08-30T18:04:00Z,source,-16.5,-16.5,49.5,,,
401858429,DraftKings,2026-08-30T18:04:00Z,source,-10,-10.5,49.5,,,
401858429,Bovada,2026-08-30T18:04:00Z,source,-10,-10.5,49.5,,,
401862695,Bovada,2026-08-30T18:04:00Z,source,-8.5,-10.5,55.5,,,
401862695,DraftKings,2026-08-30T18:04:00Z,source,-9.5,-10.5,53.5,,,
401856660,Bovada,2026-08-30T18:04:00Z,source,-10.5,-11.5,51,,,
401856660,DraftKings,2026-08-30T18:04:00Z,source,-10.5,,51.5,,,
401858432,Bovada,2026-08-30T18:04:00Z,source,-51,-50.5,56.5,,,
401858432,DraftKings,2026-08-30T18:04:00Z,source,-50.5,-49.5,56.5,,,
401856668,Bovada,2026-08-30T18:04:00Z,source,-40.5,-38.5,52.5,,,
401856668,DraftKings,2026-08-30T18:04:00Z,source,-41.5,-38.5,52.5,,,
401856664,Bovada,2026-08-30T18:04:00Z,source,-41.5,-40.5,50.5,,,
401856664,DraftKings,2026-08-30T18:04:00Z,source,-41.5,-40.5,50.5,,,
