team,season,returning_ppa_pct,returning_passing_ppa_pct,returning_usage_pct,talent_percentile,preseason_poll_vote_share,retained_quality,replacement_capacity,portal_incoming_count,portal_outgoing_count,portal_rated_incoming_count,portal_incoming_value,portal_incoming_percentile,portal_offense_ppa,portal_offense_score,portal_offense_eligible_count,portal_offense_matched_count,portal_offense_match_rate,portal_replacement_capacity,portal_offense_replacement,roster_rebuild_score,roster_rebuild_flag,hype_gap,source,captured_at
Air Force,2026,0.574,1.017,0.625,0.0144927536231884,0,0.108934306569343,0.00617391304347826,0,4,0,0,0,0,-1.51238958606768,0,0,1,0,-0.56714609477538,0,FALSE,0.219639267957262,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Akron,2026,0.918,0.874,0.943,0.130434782608696,0,0.10051094890511,0.010695652173913,15,18,12,0.455,0.231884057971014,0.642078260869565,-1.33719369241651,3,1,0.333333333333333,0.0132173913043478,-0.076220040467741,0,FALSE,0.299931238760182,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Alabama,2026,0.264,0.123,0.301,0.978260869565217,0.571885761084346,0.211970802919708,0.72,17,24,17,0.680909090909091,0.536231884057971,24.5477282608696,-0.501609793587263,3,3,1,0.374826086956522,-0.350625245717497,0,FALSE,0.117370147043267,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
App State,2026,0.379,-0.309,0.523,0.391304347826087,0,0.0995912408759124,0.243,38,42,21,0.802272727272727,0.673913043478261,67.9316956521739,0.118341468086526,13,8,0.615384615384615,0.32145652173913,0.0564488802772729,0.0564488802772729,FALSE,0.146646567227335,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Arizona,2026,0.649,1.199,0.686,0.615942028985507,0,0.568467153284672,0.216195652173913,22,20,21,0.819545454545455,0.681159420289855,19.13955,-0.674489750196082,7,5,0.714285714285714,0.213884057971014,-0.21178978156157,0,FALSE,-0.466492118904052,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Arizona State,2026,0.155,0.054,0.135,0.681159420289855,0,0.0939051094890511,0.575579710144928,24,21,22,0.869545454545455,0.905797101449275,208.135058695652,1.21428822328573,9,8,0.888888888888889,0.783514492753623,1.05035931314215,1.05035931314215,TRUE,-0.196419126203322,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Arkansas,2026,0.145,0.187,0.196,0.746376811594203,0,0.0433941605839416,0.638152173913043,42,43,39,0.87,0.91304347826087,118.797713043478,0.744586487499689,11,8,0.727272727272727,0.734086956521739,0.59864753594975,0.59864753594975,TRUE,0.110150216862372,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Arkansas State,2026,0.3,0.072,0.389,0.347826086956522,0,0.0678832116788321,0.243478260869565,25,37,21,0.799545454545455,0.666666666666667,1.57691739130435,-1.25316702566313,7,1,0.142857142857143,0.407333333333333,-0.765685052680171,0,FALSE,0.183142917592299,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Army,2026,0.802,0.626,0.586,0.0217391304347826,0,0.304408759124088,0.00430434782608696,0,2,0,0,0,0,-1.51238958606768,0,0,1,0,-0.62612928863202,0,FALSE,0.029858246059452,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Auburn,2026,0.144,0,0.196,0.876811594202899,0,0.100905109489051,0.750550724637681,39,39,38,0.881818181818182,0.978260869565217,402.49502173913,2.29489520924309,18,15,0.833333333333333,0.786521739130435,1.84509574823145,1.84509574823145,TRUE,-0.291309637152227,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
BYU,2026,0.785,1,0.882,0.579710144927536,0.475193510576609,0.664671532846715,0.12463768115942,9,14,9,0.358636363636364,0.13768115942029,14.7160369565217,-0.818549519355992,3,3,1,0.0162463768115942,-0.0965888432840071,0,FALSE,0.0518353961705279,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Ball State,2026,0.057,0,0.173,0.188405797101449,0,0.0024963503649635,0.177666666666667,24,18,20,0.758181818181818,0.615942028985507,25.3812391304348,-0.420783688738431,9,4,0.444444444444444,0.509384057971014,-0.347988110586682,0,FALSE,0.365624669417116,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Baylor,2026,0.602,0.777,0.651,0.695652173913043,0,0.316379562043796,0.276869565217391,31,32,30,0.865909090909091,0.884057971014493,83.5063217391304,0.285367872279152,7,6,0.857142857142857,0.308536231884058,0.099593387425424,0.099593387425424,FALSE,-0.116127155400402,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Boise State,2026,0.663,0.943,0.734,0.471014492753623,0,0.411350364963504,0.158731884057971,11,19,9,0.346363636363636,0.130434782608696,24.8468239130435,-0.481114979139643,3,3,1,0.034695652173913,-0.127976584451145,0,FALSE,-0.211017666349307,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Boston College,2026,0.156,0.083,0.095,0.492753623188406,0,0.0193576642335766,0.415884057971015,26,30,25,0.854545454545455,0.793478260869565,96.478397826087,0.440713682504682,9,6,0.666666666666667,0.718097826086956,0.398845882666737,0.398845882666737,FALSE,0.285332698614197,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Bowling Green,2026,-0.062,9.4,0.226,0.202898550724638,0,-0.0122189781021898,0.215478260869565,17,27,11,0.417272727272727,0.181159420289855,25.3053130434783,-0.460820299995576,4,2,0.5,0.140217391304348,-0.356674912196576,0,FALSE,0.21233999788427,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Buffalo,2026,-0.008,0.094,0.146,0.13768115942029,0,-0.00256934306569343,0.138782608695652,16,16,14,0.53,0.318840579710145,4.52927608695652,-1.17716304692063,2,1,0.5,0.272289855072464,-1.00529724207022,0,FALSE,0.0882524066433936,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
California,2026,0.583,0.887,0.53,0.768115942028985,0,0.255328467153285,0.320304347826087,32,36,30,0.878636363636364,0.971014492753623,212.668673913043,1.25316702566313,9,9,1,0.456376811594203,0.58898850206167,0.58898850206167,TRUE,-0.0285359145244896,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Central Michigan,2026,0.54,0.092,0.422,0.101449275362319,0,0.291678832116788,0.0466666666666667,12,17,5,0.185454545454545,0.0434782608695652,18.2989456521739,-0.69747233563967,6,3,0.5,0.0251304347826087,-0.403139009999729,0,FALSE,-0.130725695546387,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Charlotte,2026,0.409,1.13,0.478,0.253623188405797,0,0.00597080291970803,0.149891304347826,19,27,14,0.533181818181818,0.326086956521739,111.887273913043,0.674489750196082,10,8,0.8,0.170217391304348,0.352083649602355,0.352083649602355,FALSE,0.394821749709087,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Cincinnati,2026,0.083,0.035,0.071,0.449275362318841,0,0.0611897810218978,0.411985507246377,22,23,20,0.780454545454545,0.644927536231884,279.591073913043,1.84376502899634,10,8,0.8,0.59913768115942,1.7128577119376,1.7128577119376,TRUE,-0.32780598751719,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Clemson,2026,0.414,0.141,0.373,0.891304347826087,0.0674899483055715,0.247795620437956,0.522304347826087,11,15,11,0.429090909090909,0.213768115942029,17.4865782608696,-0.720829386410955,2,1,0.5,0.134032608695652,-0.451960025279669,0,FALSE,0.227546810536338,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Coastal Carolina,2026,0.154,0.115,0.226,0.246376811594203,0,0.0213576642335766,0.208434782608696,32,43,27,0.85,0.746376811594203,71.7821739130435,0.155012333382055,9,6,0.666666666666667,0.577695652173913,0.119979546037711,0.119979546037711,FALSE,0.270734158468211,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Colorado,2026,0.137,-0.261,0.36,0.72463768115942,0,0.059,0.62536231884058,42,38,41,0.874545454545455,0.942028985507246,136.586456521739,0.897288076287577,9,7,0.777777777777778,0.602898550724638,0.57426436882405,0.57426436882405,TRUE,-0.0212366444514969,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Colorado State,2026,0.396,0.23,0.306,0.463768115942029,0,0.0578102189781022,0.280115942028985,32,38,23,0.845454545454545,0.728260869565217,22.3676,-0.543251689701433,12,6,0.5,0.505413043478261,-0.377016672652794,0,FALSE,0.263434888395218,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Connecticut,2026,0.023,0.032,0.027,0.478260869565217,0,0.0174598540145985,0.467260869565217,53,45,40,0.852727272727273,0.77536231884058,46.7065304347826,-0.0636167900215348,17,10,0.588235294117647,0.754427536231884,-0.0618991366909534,0,FALSE,-0.349703797736168,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Delaware,2026,0.849,0.963,0.917,0.036231884057971,0,0.210700729927007,0.00547101449275362,13,8,10,0.377272727272727,0.152173913043478,8.42998695652174,-1.04266936871294,3,2,0.666666666666667,0.0126304347826087,-0.086541557603174,0,FALSE,0.161245107373321,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Duke,2026,0.171,0.041,0.22,0.507246376811594,0,0.0698978102189781,0.420507246376812,19,17,19,0.739545454545455,0.58695652173913,216.474354347826,1.29403835164186,9,9,1,0.457826086956522,1.00934991428065,1.00934991428065,TRUE,6.61165767481209e-4,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
East Carolina,2026,0.136,0,0.136,0.405797101449275,0,0.105226277372263,0.350608695652174,24,26,11,0.422272727272727,0.195652173913043,93.8359934782609,0.381410662051853,10,7,0.7,0.16904347826087,0.329538812012801,0.329538812012801,FALSE,-0.364302337882154,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Eastern Michigan,2026,0.721,0.974,0.587,0.260869565217391,0,0.184197080291971,0.0727826086956522,12,26,8,0.305,0.0942028985507246,-0.629086956521739,-1.75237035840712,4,1,0.25,0.0389057971014493,-0.723728958022142,0,FALSE,0.153945837300328,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Florida,2026,0.691,0.943,0.79,0.934782608695652,0,0.322802919708029,0.288847826086957,27,36,24,0.868181818181818,0.891304347826087,107.782817391304,0.607561622212673,11,9,0.818181818181818,0.187173913043478,0.127587940664661,0.127587940664661,FALSE,-0.0577329948164604,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
