"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2025","2657","Tuskegee","ii","SIAC","","0.011159360408782959","6","2","4","0","4","1","3","0","2","1","1","0","2","0","2","0","2","1","1","0","6","2","4","0","0","0","0","0"
"2025","375","St. Scholastica","iii","Minnesota","","","5","2","3","0","4","1","3","0","3","1","2","0","2","1","1","0","0","0","0","0","5","2","3","0","0","0","0","0"
"2025","2256","Greensboro College","iii","USA South","","0.00584256649017334","5","1","4","0","2","0","2","0","2","0","2","0","3","1","2","0","0","0","0","0","5","1","4","0","0","0","0","0"
"2025","2951","SUNY Maritime","iii","NEWMAC","","","6","3","3","0","3","1","2","0","2","1","1","0","4","2","2","0","0","0","0","0","6","3","3","0","0","0","0","0"
"2025","252","BYU","fbs","Big 12","","5.470164579339325","6","6","0","0","3","3","0","0","3","3","0","0","3","3","0","0","0","0","0","0","6","6","0","0","0","0","0","0"
"2025","2460","Northern Iowa","fcs","MVFC","","1.9486789712682366","6","2","4","0","2","0","2","0","3","2","1","0","3","0","3","0","0","0","0","0","6","2","4","0","0","0","0","0"
"2025","275","Wisconsin","fbs","Big Ten","","2.255897581577301","6","2","4","0","3","0","3","0","4","2","2","0","2","0","2","0","0","0","0","0","6","2","4","0","0","0","0","0"
"2025","2433","UL Monroe","fbs","Sun Belt","West","3.0661664344370365","6","3","3","0","2","1","1","0","2","2","0","0","4","1","3","0","0","0","0","0","6","3","3","0","0","0","0","0"
"2025","2817","Minnesota State Moorhead","ii","Northern Sun","","","7","5","2","0","6","4","2","0","3","2","1","0","4","3","1","0","0","0","0","0","7","5","2","0","0","0","0","0"
"2025","2198","Eastern Kentucky","fcs","UAC","","2.3925188183784485","6","3","3","0","2","1","1","0","3","3","0","0","3","0","3","0","0","0","0","0","6","3","3","0","0","0","0","0"
"2025","2222","Ferris State","ii","GLIAC","","","6","6","0","0","2","2","0","0","4","4","0","0","2","2","0","0","0","0","0","0","6","6","0","0","0","0","0","0"
"2025","2210","Elon","fcs","CAA","","4.21647385507822","7","4","3","0","3","2","1","0","3","2","1","0","4","2","2","0","0","0","0","0","7","4","3","0","0","0","0","0"
"2025","398","Wilkes","iii","Landmark Conference","","","6","4","2","0","2","2","0","0","3","2","1","0","3","2","1","0","0","0","0","0","6","4","2","0","0","0","0","0"
"2025","2802","Bethel (MN)","iii","Minnesota","","","5","5","0","0","4","4","0","0","2","2","0","0","3","3","0","0","0","0","0","0","5","5","0","0","0","0","0","0"
"2025","2614","Saint Vincent","iii","Presidents'","","","6","2","4","0","3","1","2","0","3","1","2","0","3","1","2","0","0","0","0","0","6","2","4","0","0","0","0","0"
"2025","352","Kenyon","iii","North Coast","","","5","1","4","0","2","1","1","0","2","0","2","0","3","1","2","0","0","0","0","0","5","1","4","0","0","0","0","0"
"2025","48","Delaware","fbs","Conference USA","","2.288790389895439","5","3","2","0","2","1","1","0","3","2","1","0","2","1","1","0","0","0","0","0","5","3","2","0","0","0","0","0"
"2025","2362","Manchester","iii","Heartland","","","5","0","5","0","1","0","1","0","3","0","3","0","2","0","2","0","0","0","0","0","5","0","5","0","0","0","0","0"
"2025","2551","Shaw","ii","CIAA","Southern","","6","2","4","0","4","2","2","0","3","1","2","0","3","1","2","0","0","0","0","0","6","2","4","0","0","0","0","0"
"2025","63","Buena Vista","iii","American Rivers","","","5","2","3","0","3","1","2","0","3","2","1","0","2","0","2","0","0","0","0","0","5","2","3","0","0","0","0","0"
"2025","324","Coastal Carolina","fbs","Sun Belt","East","2.8490742817521095","6","3","3","0","3","2","1","0","3","2","1","0","3","1","2","0","0","0","0","0","6","3","3","0","0","0","0","0"
