"","injured_worth","worth","season","team","name"
"1",0.0369,0.0369,2014,"Indiana State","A.J. Johnson"
"2",0.03575,0.03575,2014,"Ohio","A.J. Ouellette"
"3",0.02968,0.02968,2014,"Army","A.J. Schurr"
"4",0.00755,0.00755,2014,"Eastern Illinois","A.J. Woodson"
"5",-0.001169,-0.001169,2014,"Illinois","Aaron Bailey"
"6",0.017995,0.017995,2014,"Michigan State","Aaron Burbridge"
"7",0.039837,0.039837,2014,"Southern Utah","Aaron Cantu"
"8",0.013794,0.013794,2014,"Air Force","Aaron Clinton-Earl"
"9",-0.07154,-0.07154,2014,"Norfolk State","Aaron Daniels"
"10",-0.00189,-0.00189,2014,"Idaho","Aaron Duckworth"
"11",0.011609,0.011609,2014,"UTSA","Aaron Grubb"
"12",0.022678,0.022678,2014,"Ball State","Aaron Hepp"
"13",0.045279,0.045279,2014,"UTEP","Aaron Jones"
"14",0.006106,0.006106,2014,"Army","Aaron Kemper"
"15",-0.055335,-0.055335,2014,"The Citadel","Aaron Miller"
"16",0.026785,0.026785,2014,"Fresno State","Aaron Peck"
"17",-0.014501,-0.014501,2014,"Stephen F. Austin","Aaron Piper"
"18",0.005424,0.005424,2014,"Idaho State","Aaron Prier"
"19",0.031603,0.031603,2014,"South Dakota","Aaron Ramsey"
"20",0.039852,0.039852,2014,"Oklahoma","Aaron Ripkowski"
"21",0.016768,0.016768,2014,"VMI","Aaron Sanders"
"22",0.104958,0.104958,2014,"Stephen F. Austin","Aaron Thomas"
"23",0.00567,0.00567,2014,"Villanova","Aaron Wells"
"24",0.01008,0.01008,2014,"Iowa State","Aaron Wimberly"
"25",0.0833,0.0833,2014,"UT Martin","Abou Toure"
"26",0.016348,0.016348,2014,"Clemson","Adam Choice"
"27",0.03993,0.03993,2014,"Eastern Illinois","Adam Drake"
"28",0.003024,0.003024,2014,"BYU","Adam Hine"
"29",0.007567,0.007567,2014,"Clemson","Adam Humphries"
"30",0.042,0.042,2014,"Florida","Adam Lane"
"31",0.138074,0.138074,2014,"Fordham","Adam Malkiewicz"
"32",0.024737,0.024737,2014,"San Diego State","Adam Roberts"
"33",0.04654,0.04654,2014,"Utah","Adam Schulz"
"34",0.009164,0.009164,2014,"New Mexico State","Adam Shapiro"
"35",-0.00555,-0.00555,2014,"North Dakota","Adam Shaugabay"
"36",0.00735,0.00735,2014,"Missouri State","Adam St. Peter"
"37",0.005676,0.005676,2014,"Syracuse","Adonis Ameen-Moore"
"38",0.008822,0.008822,2014,"Pittsburgh","Adonis Jennings"
"39",-0.013609,-0.013609,2014,"Arizona","Adonis Smith"
"40",-0.073656,-0.073656,2014,"South Carolina State","Adri Kollock Jr"
"41",0.05628,0.05628,2014,"Stony Brook","Adrian Coxson"
"42",0.034047,0.034047,2014,"Abilene Christian","Adrian Duncan"
"43",-0.002166,-0.002166,2014,"Syracuse","Adrian Flemming"
"44",0.010414,0.010414,2014,"Memphis","Adrian Henderson"
"45",0.06864,0.06864,2014,"North Carolina Central","Adrian Wilkins"
"46",0.005187,0.005187,2014,"UCLA","Ahmaad Harris"
"47",0.01225,0.01225,2014,"Florida","Ahmad Fulwood"
"48",0.023604,0.023604,2014,"Syracuse","AJ Long"
"49",0.060894,0.060894,2014,"UL Monroe","Ajalen Holley"
"50",-0.001155,-0.001155,2014,"Penn State","Akeel Lynch"
"51",0.02256,0.02256,2014,"Purdue","Akeem Hunt"
"52",-0.009006,-0.009006,2014,"Campbell","Akile Jones"
"53",-0.010476,-0.010476,2014,"Iowa","Akrum Wadley"
"54",-0.044382,-0.044382,2014,"VMI","Al Cobb"
"55",0.022568,0.022568,2014,"Louisiana","Al Riles"
"56",0.027219,0.027219,2014,"Memphis","Alan Cross"
"57",-0.014883,-0.014883,2014,"James Madison","Alden Hill"
"58",0.044346,0.044346,2014,"UConn","Alec Bloom"
"59",0.004018,0.004018,2014,"UL Monroe","Alec Osborne"
"60",0.005112,0.005112,2014,"Chattanooga","Alejandro Bennifield"
