"team","year","wins","losses","PF","PA","Overall","Offense","Passing","Pass_Block","Receiving","Running","Run_Block","Defense","Run_Defense","Tackling","Pass_Rush","Coverage"
"Air Force",2014,10,3,409,314,84,79.9,69.4,77.1,77.7,61.9,82.9,80.8,87.7,87,64.3,72.4
"Akron",2014,5,7,271,277,73,64.3,57,82.3,55.2,60.1,78.4,82.8,85.7,89.3,65.5,86.9
"Alabama",2014,12,2,517,258,93.8,93.6,85.5,91.1,82.7,83.6,87.8,93.3,96.3,91.8,72.8,90.3
"App State",2014,7,5,428,328,81.6,75.6,62.2,79.1,69.5,61,87.2,82.4,74.2,64.1,70.7,86.5
"Arizona",2014,10,4,483,395,81,69.6,66.8,89.5,56.5,68,73.5,90.8,92.4,90.3,59.8,90.9
"Arizona State",2014,10,3,480,363,80.4,77.6,66.7,82.7,74.8,65.5,76.7,77.6,79.2,88.2,55.6,82.8
"Arkansas",2014,7,6,415,250,90.2,88.3,71.5,68.9,81.3,78.4,87.1,87.3,87.9,64.9,72,80
"Arkansas State",2014,7,6,477,396,80.9,72.3,69.5,79.2,67,59.8,79.7,87.8,86.8,91.5,73.9,86.7
"Army",2014,4,8,299,395,73.2,76.8,44.9,78.4,57.4,73.6,79.6,62.6,65.4,67.2,52.3,63.4
"Auburn",2014,8,5,461,347,90.5,93.4,87.8,88.8,79.9,83.4,88,78.9,80.4,84.7,68.3,78.2
"Ball State",2014,5,7,332,326,80.9,80.9,60.9,83.6,69.4,74.4,85.6,72.8,67.9,83.5,58.3,79.2
"Baylor",2014,11,2,627,332,90.9,88.1,86.8,85.8,81.6,77.5,76.3,91,93.4,91.4,77.9,83.9
"Boise State",2014,12,2,556,375,91.2,89.1,90.5,78.4,77,79.5,83.3,91.3,91.3,92.1,68.9,90.4
"Boston College",2014,7,6,341,277,80.8,71.7,64.7,64.7,59.3,73.8,70.4,86.6,89.8,79.8,68.4,79.4
"Bowling Green",2014,8,6,420,469,76.5,76,66.1,86.8,63.9,68.8,83.4,72.6,78.6,77.6,64.2,68.5
"Buffalo",2014,5,6,355,347,91,88.3,69.5,84.9,80.8,73.3,88.1,90.4,92.5,91.4,70.6,74.4
"BYU",2014,8,5,387,268,87.4,74.7,68.1,82.7,61.1,83.6,70.8,92,93.1,86.6,66.7,91
"California",2014,5,7,459,477,80.2,82.5,81.6,72.2,78.2,79.1,72.5,69.5,84.2,76.9,52.3,62.8
"Central Michigan",2014,7,6,350,327,89.2,86.1,76.2,85.1,85.4,69.5,80.8,84.3,83.4,92.9,71.1,83.7
"Cincinnati",2014,9,4,442,354,85.1,82.8,74.9,92.5,73.5,75.4,78.7,79.6,69.3,87.9,65.5,86.7
"Clemson",2014,10,3,401,217,90.2,76.5,65.4,81,73.7,66.7,74.4,94.3,94,90.1,87.7,91.4
"Colorado",2014,2,10,342,468,77.6,73.3,67.9,85.6,68.2,66.2,70,78.2,71.9,90.7,55.3,89.5
"Colorado State",2014,10,3,441,326,89.5,88.7,78.8,73.1,80.6,82.4,86,83.9,80,90.3,70.6,85.6
